ApproxErrorHigh,ApproxErrorLow,M000_MF,M000_mass,M000n1_InterpMF,M000n1_MF,M000n1_mass,directRatio,interpolatedRatio,numClusters1,numClusters2,stepNum
0.002229667516249877,0.0022254387611854243,0.00030335,8698257000000.0,0.0002524878230764465,0.00025239,8701048000000.0,0.8320092302620736,0.8323317062022301,307426.0,255777.0,247
0.002661520910194585,0.0026554399259359767,0.00021015,11798380000000.0,0.00017330685228024797,0.00017323,11802620000000.0,0.8243159647870568,0.8246816668106017,212969.0,175551.0,247
0.003223754891033535,0.0032147812909168847,0.000142,16020620000000.0,0.00011639009952263567,0.0001164,16019650000000.0,0.8197183098591548,0.8196485881875751,143904.0,117965.0,247
0.003936345862928387,0.003922809704498789,9.3624e-05,21732850000000.0,7.583031943926588e-05,7.591e-05,21717480000000.0,0.8107963769973511,0.8099453071783504,94881.0,76929.0,247
0.004870928015241113,0.004849971302180396,6.0138e-05,29506790000000.0,4.8151460241726715e-05,4.8273e-05,29460760000000.0,0.802703781303003,0.8006827669980164,60945.0,48921.0,247
0.006113273153434347,0.0060797380091218295,3.743e-05,39974920000000.0,2.949037879066614e-05,2.9446e-05,40012220000000.0,0.7866951643067058,0.7878808119333728,37932.0,29841.0,247
0.007815371429816115,0.00775988241978576,2.251e-05,54178390000000.0,1.7500377608320282e-05,1.7465e-05,54242290000000.0,0.7758773878276322,0.7774490274686932,22812.0,17699.0,247
0.010200780061289362,0.010104180808202815,1.2779e-05,73583290000000.0,9.70777098625645e-06,9.7323e-06,73489350000000.0,0.7615854135691368,0.7596659352262657,12951.0,9863.0,247
0.014245624840663579,0.01406308560860074,6.8135e-06,99742990000000.0,5.316138081259576e-06,5.3551e-06,99440020000000.0,0.785954355323989,0.7802360139810047,6905.0,5427.0,247
0.019783903676316304,0.019421393000037823,3.4142e-06,134836600000000.0,2.5782538310574177e-06,2.5646e-06,135135200000000.0,0.7511569328100287,0.7551560632234251,3460.0,2599.0,247
0.028105318358632517,0.027358779788639986,1.6439e-06,182610600000000.0,1.2082910419218672e-06,1.1989e-06,183181500000000.0,0.7293022689944644,0.7350149290844133,1666.0,1215.0,247
0.047061067896847206,0.04513742168074059,6.631e-07,245765500000000.0,5.212686500377749e-07,5.062e-07,248322600000000.0,0.7633841049615443,0.7861086563682325,672.0,513.0,247
0.08243912800140347,0.07666519912033977,2.1511e-07,338725700000000.0,1.674078767493872e-07,1.6873e-07,337850700000000.0,0.7843893821765608,0.7782431163097354,218.0,171.0,247
0.17780209496894217,0.15764343690292937,6.9073e-08,455692600000000.0,6.791700933455385e-08,6.7099e-08,457511800000000.0,0.9714215395306415,0.9832642180671731,70.0,68.0,247
0.2729003202655124,0.2173544767369142,2.2695e-08,602931800000000.0,1.728003290485873e-08,1.6775e-08,606581300000000.0,0.7391495924212381,0.7614026395619621,23.0,17.0,247
,,2.9603e-09,887086900000000.0,,1.9735e-09,868346600000000.0,0.6666554065466338,,3.0,2.0,247
0.001846408332954834,0.0018433996134867917,0.00041985,3471196000000.0,0.0003373330856803937,0.00033767,3468826000000.0,0.8042634274145528,0.8034609638689859,425489.0,342199.0,163
0.002304153744329596,0.0022994626646329628,0.000269,4712025000000.0,0.00021579050596502302,0.00021615,4706897000000.0,0.8035315985130111,0.8021951894610522,272613.0,219050.0,163
0.002889499640194072,0.0028820826649479507,0.0001699,6387624000000.0,0.00013553016494292515,0.00013556,6386773000000.0,0.7978811065332548,0.7977055029012663,172180.0,137377.0,163
0.003674216187658512,0.0036621059936828414,0.0001037,8664869000000.0,8.189676106389955e-05,8.1833e-05,8668955000000.0,0.7891321118611379,0.7897469726509118,105093.0,82932.0,163
